Y,X,Z
1.1,374.6959742,4.987629512
1.1,398.9904753,4.39365169
1,398.9162433,3.087169858
1,349.8818497,4.221274452
1,315.863732,4.950479879
0.9,259.2446726,4.940145571
0.9,324.6269253,3.481881651
0.9,365.2708159,2.590682273
0.9,398.4012116,1.807650284
0.8,399.2147016,0.554995014
0.8,356.8022545,1.459761232
0.8,281.700977,3.134066066
0.8,202.6248478,4.916342378
0.7,145.1218927,4.919525933
0.7,201.6636592,3.569502869
0.7,267.0474424,2.138176719
0.7,360.7044048,0.072245691
0.7,396.9318787,-0.697488834
0.6,397.2999772,-2.003995155
0.6,379.1873881,-1.598924565
0.6,318.6615868,-0.302556641
0.6,239.5793354,1.371968592
0.6,159.6239023,3.248576076
0.6,85.40881613,4.949769701
0.5,23.92488727,4.953173656
0.5,66.7781342,4.021445179
0.5,184.7234754,1.25378525
0.5,273.5216905,-0.690656437
0.5,353.4886027,-2.365230648
0.5,397.2272758,-3.283539218
0.4,397.5961396,-4.576576654
0.4,333.5309295,-3.293481704
0.4,232.359707,-1.132852171
0.4,171.3946363,0.217415781
0.4,89.22831638,2.107614595
0.4,28.26783736,3.538695856
0.4,-30.03789384,4.983099069
0.3,-91.07949228,4.986478535
0.3,-49.9970976,4.027910243
0.3,18.02612792,2.340528347
0.3,90.91422282,0.639408189
0.3,154.5294497,-0.778351121
0.3,224.7735106,-2.304228844
0.3,300.3217103,-3.897744857
0.3,351.5723478,-4.951158586
0.2,286.1059145,-4.974472002
0.2,202.1633854,-3.205395197
0.2,167.2644334,-2.408796368
0.2,106.7409278,-1.072021789
0.2,24.13074693,0.791263743
0.2,-38.59599267,2.2763185
0.2,-118.9853381,4.301108206
0.1,-119.0695186,2.819530871
0.1,-62.53004802,1.429101153
0.1,-6.869881311,0.133002606
0.1,33.76865239,-0.852478966
0.1,93.40749708,-2.189204567
0.1,160.9991061,-3.687997586
0.1,221.0856381,-4.930465482
0,157.830857,-4.953901341
0,96.86195993,-3.670977813
0,24.41313435,-2.023757683
0,-43.61697867,-0.457595751
0,-88.23265979,0.595450646
0,-119.1521686,1.364891305
-0.1,-119.6794448,-0.130130426
-0.1,-80.36484131,-1.061662992
-0.1,-14.10328471,-2.614258084
-0.1,43.7692994,-3.89701019
-0.1,91.03972834,-4.936734635
-0.2,28.67037335,-4.946750588
-0.2,-22.57949884,-3.879867973
-0.2,-72.05622296,-2.745738889
-0.2,-120.2044252,-1.584745503
-0.3,-120.7317015,-3.079767234
-0.3,-109.2456507,-3.336312758
-0.3,-42.5387026,-4.835056799
-0.3,-38.12228587,-4.956521652
-0.4,-103.5864233,-4.939428412
-0.4,-114.1908743,-4.736807406
-0.4,-119.9304559,-4.547924662
